H,W,algo,ascii_bytes,cpu_time_s,explored_cells,gen_algo,grid_cells,n,ok,path_len_cells,peak_mem_bytes,phase,remaining_empty_cells,seed,wall_cells,wall_time_s
31,31,gen_backtracking,991,0.0,,,961,15,,,16320,generation,,118908,,0.006679499987512827
,,solve_backtracking,,0.015625,163,gen_backtracking,,15,True,257,121880,solving,31,118908,510,0.005557300028158352
,,solve_astar,,0.0,85,gen_backtracking,,15,True,257,136640,solving,109,118908,510,0.010750299989013001
31,31,gen_kruskal,991,0.015625,,,961,15,,,48568,generation,,118908,,0.0028796999831683934
,,solve_backtracking,,0.0,337,gen_kruskal,,15,True,61,48904,solving,53,118908,510,0.0020388000120874494
,,solve_astar,,0.0,71,gen_kruskal,,15,True,61,28976,solving,319,118908,510,0.002110400004312396
31,31,gen_backtracking,991,0.0,,,961,15,,,15080,generation,,128915,,0.005147799995029345
,,solve_backtracking,,0.0,205,gen_backtracking,,15,True,229,87760,solving,17,128915,510,0.00425230001565069
,,solve_astar,,0.0,119,gen_backtracking,,15,True,229,112712,solving,103,128915,510,0.009993799991207197
31,31,gen_kruskal,991,0.0,,,961,15,,,16368,generation,,128915,,0.0016253999783657491
,,solve_backtracking,,0.0,81,gen_kruskal,,15,True,85,31792,solving,285,128915,510,0.0010497999901417643
,,solve_astar,,0.0,125,gen_kruskal,,15,True,85,32328,solving,241,128915,510,0.0013696000096388161
31,31,gen_backtracking,991,0.0,,,961,15,,,15080,generation,,138922,,0.007100099988747388
,,solve_backtracking,,0.0,309,gen_backtracking,,15,True,141,80968,solving,1,138922,510,0.0032696000125724822
,,solve_astar,,0.0,53,gen_backtracking,,15,True,141,55560,solving,257,138922,510,0.005272500013234094
31,31,gen_kruskal,991,0.0,,,961,15,,,16360,generation,,138922,,0.0027734999894164503
,,solve_backtracking,,0.0,295,gen_kruskal,,15,True,77,48528,solving,79,138922,510,0.0024216999881900847
,,solve_astar,,0.0,103,gen_kruskal,,15,True,77,32208,solving,271,138922,510,0.0031282000127248466
101,101,gen_backtracking,10301,0.0625,,,10201,50,,,158544,generation,,396073,,0.06529569998383522
,,solve_backtracking,,0.1875,3937,gen_backtracking,,50,True,1021,1024560,solving,43,396073,5200,0.19625680000171997
,,solve_astar,,0.0625,801,gen_backtracking,,50,True,1021,631576,solving,3179,396073,5200,0.0572167000209447
101,101,gen_kruskal,10301,0.03125,,,10201,50,,,571112,generation,,396073,,0.03400990000227466
,,solve_backtracking,,0.046875,4043,gen_kruskal,,50,True,301,673616,solving,657,396073,5200,0.05183650000253692
,,solve_astar,,0.046875,1343,gen_kruskal,,50,True,301,567672,solving,3357,396073,5200,0.04562600000645034
101,101,gen_backtracking,10301,0.0625,,,10201,50,,,127160,generation,,406080,,0.06265249999705702
,,solve_backtracking,,0.1875,3501,gen_backtracking,,50,True,1361,1003440,solving,139,406080,5200,0.1856305999972392
,,solve_astar,,0.09375,1269,gen_backtracking,,50,True,1361,794752,solving,2371,406080,5200,0.08432269998593256
101,101,gen_kruskal,10301,0.03125,,,10201,50,,,457344,generation,,406080,,0.03971790001378395
,,solve_backtracking,,0.03125,2127,gen_kruskal,,50,True,397,416336,solving,2477,406080,5200,0.03242390000377782
,,solve_astar,,0.078125,3409,gen_kruskal,,50,True,397,983848,solving,1195,406080,5200,0.08943280001403764
101,101,gen_backtracking,10301,0.0625,,,10201,50,,,123888,generation,,416087,,0.05962079999153502
,,solve_backtracking,,0.109375,951,gen_backtracking,,50,True,1469,638280,solving,2581,416087,5200,0.11253620000206865
,,solve_astar,,0.09375,1125,gen_backtracking,,50,True,1469,677032,solving,2407,416087,5200,0.09376170000177808
101,101,gen_kruskal,10301,0.046875,,,10201,50,,,596912,generation,,416087,,0.03392680000979453
,,solve_backtracking,,0.015625,2023,gen_kruskal,,50,True,385,400624,solving,2593,416087,5200,0.0249208000022918
,,solve_astar,,0.125,3973,gen_kruskal,,50,True,385,1198816,solving,643,416087,5200,0.11877800000365824
201,201,gen_backtracking,40601,0.25,,,40401,100,,,612320,generation,,792023,,0.2452562999969814
,,solve_backtracking,,2.859375,14393,gen_backtracking,,100,True,4173,3915904,solving,1435,792023,20400,2.8595783000055235
,,solve_astar,,0.234375,3697,gen_backtracking,,100,True,4173,2678960,solving,12131,792023,20400,0.25032379999174736
201,201,gen_kruskal,40601,0.171875,,,40401,100,,,2313800,generation,,792023,,0.1750352999952156
,,solve_backtracking,,0.265625,11617,gen_kruskal,,100,True,717,2566992,solving,7667,792023,20400,0.26073909999104217
,,solve_astar,,0.421875,11279,gen_kruskal,,100,True,717,4085840,solving,8005,792023,20400,0.41950739998719655
201,201,gen_backtracking,40601,0.21875,,,40401,100,,,624248,generation,,802030,,0.2162802999955602
,,solve_backtracking,,2.875,14769,gen_backtracking,,100,True,4429,4361288,solving,803,802030,20400,2.8864257999812253
,,solve_astar,,0.390625,6095,gen_backtracking,,100,True,4429,3207704,solving,9477,802030,20400,0.3820375000068452
201,201,gen_kruskal,40601,0.140625,,,40401,100,,,2457632,generation,,802030,,0.14525359999970533
,,solve_backtracking,,0.140625,6491,gen_kruskal,,100,True,917,1540656,solving,12593,802030,20400,0.13751020000199787
,,solve_astar,,0.3125,8431,gen_kruskal,,100,True,917,2905024,solving,10653,802030,20400,0.3119218999927398
201,201,gen_backtracking,40601,0.21875,,,40401,100,,,576336,generation,,812037,,0.2076999999990221
,,solve_backtracking,,2.5625,12203,gen_backtracking,,100,True,6669,4319680,solving,1129,812037,20400,2.5799298000056297
,,solve_astar,,0.671875,12465,gen_backtracking,,100,True,6669,5521800,solving,867,812037,20400,0.6718460000120103
201,201,gen_kruskal,40601,0.125,,,40401,100,,,2453200,generation,,812037,,0.15494989999569952
,,solve_backtracking,,0.390625,11441,gen_kruskal,,100,True,1225,2538984,solving,7335,812037,20400,0.3688638000166975
,,solve_astar,,0.546875,15375,gen_kruskal,,100,True,1225,4966312,solving,3401,812037,20400,0.5534562000248116
